"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",23.7451789936624,-0.117369879165062,0.596026831638509,-0.196920462191955,0.843889780681686,NA
"A1BG-AS1",82.1092439662461,0.562768180347512,0.530093576326197,1.06163931328458,0.288399459273085,NA
"A1CF",1.36169719863418,-0.0851219188830586,9.18022324124199,-0.00927231469716879,0.992601869270435,NA
"A2M",4387.6657646412,-0.441464721119398,0.838859364468642,-0.526267858258976,0.598702111815786,0.847575812403817
"A2M-AS1",408.998450977307,-0.721427311571249,0.91149895950553,-0.791473543713763,0.42866770866582,NA
"A2ML1",0.171326684739536,-0.0850383545889546,9.18022324129764,-0.00926321205419121,0.992609131816827,NA
"A2MP1",1.00541046401834,-0.0422725951194651,2.30527196605747,-0.0183373570415471,0.985369725861285,NA
"A3GALT2",2.35887485316384,-4.86548340132099,2.41985609655713,-2.01064989287726,0.0443624501113345,NA
"A4GALT",72.3090842344527,-0.28370399277297,0.672579268399215,-0.421814953422822,0.673160090161991,NA
"A4GNT",0.723440330086259,0.932613136830144,2.88736874519106,0.322997586776341,0.746697069671944,NA
"AAAS",155.170018067968,0.172570217909564,0.339897816561425,0.507712051978945,0.611655295154306,NA
"AACS",79.036921396872,-0.155967421629488,0.352180645040264,-0.442861990929844,0.657865561250274,NA
"AACSP1",0.913210288431153,-0.0849893798350924,2.519154040149,-0.0337372699249727,0.973086658776048,NA
"AADACL2-AS1",1.21978452706263,-0.084854549278832,2.47266799403614,-0.0343170006986356,0.972624368256874,NA
"AADACL4",0.832475525173613,-1.55475438174987,3.27054086528182,-0.475381426434463,0.634515130597387,NA
"AADACP1",2.84155274481509,0.894470437342434,2.70537377215335,0.330627304274661,0.74092601924831,NA
"AADAT",13.8405574983895,0.0875949303417285,0.774574359709145,0.113087825905599,0.909960926594198,NA
"AAGAB",382.04316821137,-0.303945334010159,0.316283011637708,-0.960991652496081,0.336556365024344,NA
"AAK1",4614.47729820312,0.00825784229624733,0.269490022730304,0.0306424787551838,0.975554664894465,0.992484295149634
"AAMDC",22.5735150741876,-0.572514603284427,0.616354859289373,-0.928871728121862,0.352955566240521,NA
"AAMP",124.688568943691,0.0938257075814626,0.40434606207354,0.232043084827665,0.816504550058813,NA
"AANAT",1.05245586787398,-0.0845851171597545,2.38875192840686,-0.0354097535846542,0.971753007354629,NA
"AAR2",132.746981655429,-0.290417788088532,0.367024793138129,-0.791275667252359,0.428783144481524,NA
"AARD",3.29331959447671,0.469800532203424,1.3470716741044,0.348756893367066,0.727271827918707,NA
"AARS1",339.466595949308,0.312979714641658,0.393278798005528,0.795821478881908,0.426135805579167,NA
"AARS2",169.58905457875,0.733169809219208,0.324279002811403,2.26092285612958,0.023764034514996,NA
"AASDH",233.455991196291,0.740076077529255,0.368971525313923,2.00578100681237,0.0448796179453608,NA
"AASDHPPT",372.94336346374,-0.364239999695969,0.250331610033631,-1.45502998861005,0.145660959535521,NA
"AASS",507.633610531678,-0.0529868091252913,0.357121732089007,-0.148371841767628,0.882049321103626,NA
"AATBC",46.3506997164612,-0.514969158321008,1.25036246891467,-0.411855898688329,0.68044504694645,NA
"AATF",179.609408639282,0.576593560513188,0.231014757116051,2.49591657135364,0.0125632145564311,NA
"AATK",37.0846921254823,-1.08800154683079,1.12899970436636,-0.963686299139842,0.335203225382268,NA
"ABALON",4.96540157580351,-0.687570084934938,1.28528278785378,-0.534956269104849,0.592680097197868,NA
"ABAT",208.173756603945,-0.00498515947375778,0.348233949676678,-0.0143155470004757,0.988578236189849,NA
"ABCA1",2338.3811333382,-0.531251824019322,0.576231601584896,-0.921941494631916,0.35655909352501,0.71625265211402
"ABCA10",398.930300061663,0.796669546207369,0.865216063105741,0.920775260861061,0.357167773626671,NA
"ABCA11P",79.5481137786813,0.220299754560684,0.605440183410439,0.363867084803881,0.715957264762036,NA
"ABCA12",0.616922292581179,-0.0850310096416346,7.00138448276292,-0.0121448850368062,0.990310021946098,NA
"ABCA13",4.04636186760619,-1.67036223703952,1.94384390590888,-0.859308832340893,0.390170152566149,NA
"ABCA17P",4.36987308158774,-0.680095834270108,1.37980531782213,-0.49289260266337,0.622088474387197,NA
"ABCA2",459.85909206795,0.279083072677782,0.280091782075338,0.996398646936078,0.319056490174705,NA
"ABCA3",160.940682408587,0.22703661636686,0.542584836397559,0.418435240236804,0.675628925599379,NA
"ABCA4",11.1271750652126,-1.59436886155846,1.28380059609186,-1.24191316502893,0.214268602205081,NA
"ABCA5",1302.19915260629,0.521716092366442,0.444866310181115,1.17274803784094,0.240896861290517,0.621074922472288
"ABCA6",543.31804068938,0.457531471101091,0.726910842645023,0.629418966205351,0.529074804425746,NA
"ABCA7",575.457722620853,0.0235688039814624,0.483088695977958,0.0487877364502393,0.961088455431904,NA
"ABCA8",288.142185875591,0.83699555510035,1.1582632545799,0.7226298095798,0.469907348996263,NA
"ABCA9",334.922563636725,1.0351823456234,0.874904162426208,1.18319513162759,0.236731821971059,NA
"ABCB1",143.101878302982,0.488760412395366,0.358794178080274,1.36223061090477,0.173125118194151,NA
"ABCB10",364.606879613212,-0.147987995613716,0.290534814176482,-0.50936407064739,0.610497055794662,NA
"ABCB11",59.4543015728289,-0.263768196892955,0.727610849345001,-0.362512732088039,0.716968910821342,NA
"ABCB4",133.376852002796,0.305366426198377,1.11364301382355,0.27420494934902,0.78392712481157,NA
"ABCB5",10.2789331818872,-4.46607095185922,2.81183186138005,-1.58831365886411,0.11221543039213,NA
"ABCB6",47.002727956544,0.430340895726824,0.46829428284096,0.918953981492392,0.358119642843792,NA
"ABCB7",299.318893612757,0.22409755548163,0.306797728105859,0.730440726745884,0.46512083159463,NA
"ABCB8",168.262563000338,0.0403991528262556,0.358690295867365,0.112629623080726,0.910324198653432,NA
"ABCB9",30.7057047449954,-0.793564491857459,0.540123170680627,-1.46922875176316,0.141770754298197,NA
"ABCC1",1398.36235453826,-0.0162323324179137,0.258078746713031,-0.0628968197678172,0.949848667290016,0.98916845753869
"ABCC10",315.62585324102,0.310057057400075,0.291664132185334,1.06306200586589,0.287753833049298,NA
"ABCC11",2.01374893598254,-0.0847384798724716,1.72249203239911,-0.0491952811848115,0.960763671784217,NA
"ABCC13",3.45109712729346,-0.446251889006585,1.72915082826491,-0.258075745453836,0.796348449998878,NA
"ABCC2",55.6558394810514,1.08057822730366,0.378540260229753,2.85459260435814,0.00430920667385297,NA
"ABCC3",660.302738963955,-0.23733209741673,0.376999444517837,-0.629529037424088,0.52900276471631,NA
"ABCC4",429.82504959919,0.817974832736201,0.523726203279813,1.5618367528943,0.118326451183624,NA
"ABCC5",888.060375103401,0.448190911472496,0.671013395136132,0.667931392608891,0.504177387498661,0.805225394056302
"ABCC5-AS1",1.47188203747621,-1.51024203496847,3.21310873089102,-0.470025187896354,0.638337022162697,NA
"ABCC6",5.26102729465938,-1.34932309810229,1.67320167171461,-0.806431837185273,0.419993895826634,NA
"ABCC6P1",0.934229695773506,-3.57128393535825,3.38333316870429,-1.05555195343825,0.291172961715296,NA
"ABCC8",3.06775240636283,0.865088184385029,2.31123126541469,0.374297543188441,0.708182959713668,NA
"ABCC9",288.170679720542,-0.763861395234665,0.57553671297969,-1.32721575880012,0.184437320908736,NA
"ABCD1",113.454221746352,-0.237304329249243,0.587048929401282,-0.404232624171999,0.686041665431486,NA
"ABCD2",336.917678341349,0.245282109009117,0.915373077504172,0.267958622595604,0.788731168725559,NA
"ABCD3",318.853634387062,0.393124279819231,0.249850404382024,1.57343863737815,0.115617286397495,NA
"ABCD4",237.322501014126,0.0561184445233843,0.283104554572938,0.198225156101917,0.842868906263019,NA
"ABCE1",828.050245368204,-0.268422007711453,0.261566693975544,-1.0262086645349,0.304793238105903,NA
"ABCF1",244.950448418985,0.64294964236583,0.239289757634643,2.68690832704804,0.00721167424104358,NA
"ABCF2",88.5804429083851,0.598878282509168,0.37019149370181,1.61775268394353,0.105715907126594,NA
"ABCF3",162.849112243079,0.364908990723211,0.268172737053774,1.36072366912539,0.173601031777971,NA
"ABCG1",356.65582755098,-0.0571981391120248,0.346197025517608,-0.16521845913178,0.8687720366408,NA
"ABCG2",104.547461149159,-1.13655633348451,0.7485662770275,-1.51831089425734,0.128936042588781,NA
"ABCG4",2.69298544583267,0.903888093089077,2.40337910208828,0.376090518680009,0.706849602773508,NA
"ABCG8",0.452283860597165,-0.084963549821815,4.5442648496259,-0.0186968745514051,0.985082921566832,NA
"ABHD1",2.6404050248645,-0.416657961474591,1.1440214114149,-0.36420468823156,0.715705166359979,NA
"ABHD10",275.88475526568,-0.0349495577297298,0.282050902780917,-0.123912234937524,0.901384765531143,NA
"ABHD11",18.8936490339662,0.923381267169962,0.709543261922009,1.30137416099014,0.193130413678614,NA
"ABHD12",297.085324051611,0.0780432284329451,0.444574080238121,0.175546060605116,0.860650581515146,NA
"ABHD13",735.844691359329,-0.32346616708076,0.280558553153071,-1.15293639579143,0.248936491945197,NA
"ABHD14A",22.3964088604043,-0.453208482040823,0.589387158610292,-0.768948687496751,0.441923772603686,NA
"ABHD14B",272.996509891429,-0.0438677849084624,0.304181227386162,-0.144215950752186,0.885329945734607,NA
"ABHD15",221.711509121719,-0.133487996223472,0.285818501238107,-0.467037632781747,0.6404729537269,NA
"ABHD16A",176.387918263637,-0.266000270998744,0.359716438254436,-0.739472102775008,0.459620373609716,NA
"ABHD16B",0.814090530000563,2.35772578388796,2.63770600623234,0.893854651851706,0.371399663626889,NA
"ABHD17A",150.945396032343,-0.126604698609467,0.419645716829854,-0.301694247151816,0.762885154173401,NA
"ABHD17B",257.846725096307,-0.721158936111151,0.448156033454757,-1.60916931219661,0.107579324662317,NA
"ABHD17C",111.899820934899,-0.404281210340815,0.713879233808206,-0.566315969417078,0.571179006446492,NA
"ABHD18",618.284191384835,0.132656450892399,0.283368500980794,0.468141132247406,0.639683666389421,NA
